titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
El silencio de los harakbut: el pueblo amazónico de Perú acorralado por el crimen,23 May 2025,Geraldine Santos,https://es.mongabay.com/2025/05/silencio-harakbut-pueblo-amazonico-peru-acorralado-narcotrafico/,2025-05-23,2025,5,23,14,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['pueblo'], 'crimen_ilegalidad': ['crimen']}",False,crimen
La huella devastadora del avance de la minería ilegal de oro en la Amazonía | Reportaje fotográfico,23 May 2025,Mongabay Latam,https://es.mongabay.com/2025/05/huella-devastadora-mineria-ilegal-oro-amazonia-reportaje-fotografico/,2025-05-23,2025,5,23,17,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
"Alarmante situación en la Amazonía peruana: 226 defensores indígenas en riesgo por avance del narcotráfico, minería y tala ilegal en tres regiones",21 May 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/05/amazonia-peruana-defensores-indigenas-riesgo-narcotrafico-mineria-tala-ilegal/,2025-05-21,2025,5,21,22,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'sociedad_comunidades': ['indígena'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Fueron criminalizados durante 10 años por protestar contra una minera pero la Justicia peruana finalmente los absolvió,5 May 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/05/peru-criminalizados-protestar-contra-minera-justicia/,2025-05-05,2025,5,5,17,"['politica_gobernabilidad', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['justicia'], 'crimen_ilegalidad': ['criminalizar']}",False,criminalizar
"«El tráfico ilegal no es nacional, es un problema mundial y es el tercer negocio más lucrativo ilegal del mundo» | ENTREVISTA",26 Abr 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/04/trafico-ilegal-problema-mundial-tercer-negocio-mas-lucrativo-ilegal-del-mundo-entrevista/,2025-04-26,2025,4,26,22,['crimen_ilegalidad'],"{'crimen_ilegalidad': ['ilegal', 'tráfico']}",False,"ilegal, tráfico"
“Lima es uno de los lugares donde fluye una gran parte del tráfico de especies para salir hacia el extranjero” | ENTREVISTA,24 Abr 2025,Geraldine Santos,https://es.mongabay.com/2025/04/peru-trafico-especies-aves-entrevista/,2025-04-24,2025,4,24,22,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['especie'], 'crimen_ilegalidad': ['tráfico']}",False,tráfico
Historias de salvación | Tres proyectos buscan proteger a las aves amenazadas en Latinoamérica,17 Abr 2025,Mongabay Latam,https://es.mongabay.com/2025/04/historias-de-salvacion-tres-proyectos-buscan-proteger-a-las-aves-amenazadas-en-latinoamerica/,2025-04-17,2025,4,17,14,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['ave', 'proteger'], 'crimen_ilegalidad': ['amenazado']}",False,amenazado
Caso Saweto: Ministerio Público solicita endurecer condena a madereros por asesinato de líderes indígenas en Perú,15 Abr 2025,Geraldine Santos,https://es.mongabay.com/2025/04/caso-saweto-endurecer-condena-madereros-asesinato-lideres-indigenas-peru/,2025-04-15,2025,4,15,16,"['politica_gobernabilidad', 'sociedad_comunidades', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['ministerio'], 'sociedad_comunidades': ['indígena', 'líder'], 'crimen_ilegalidad': ['asesinato']}",False,asesinato
"#EnCorto: violencia, narcotráfico y minería ilegal presionan la Reserva Nacional Tambopata en Perú",11 Abr 2025,Mongabay Latam,https://es.mongabay.com/2025/04/en-corto-violencia-narcotrafico-mineria-ilegal-reserva-tambopata-peru/,2025-04-11,2025,4,11,13,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['reserva'], 'crimen_ilegalidad': ['ilegal', 'violencia']}",False,"ilegal, violencia"
Imágenes aéreas muestran los vuelos de la muerte: líderes indígenas asesinados y un territorio invadido por 67 narcopistas | Reportaje fotográfico,11 Abr 2025,Mongabay Latam,https://es.mongabay.com/2025/04/imagenes-aereas-indigenas-asesinados-narcopistas-reportaje-fotografico/,2025-04-11,2025,4,11,21,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['indígena', 'líder', 'territorio'], 'crimen_ilegalidad': ['asesinado']}",False,asesinado
