titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo
Cumbre de la OTCA: gobiernos aprobaron el mecanismo de gobernanza indígena pero obviaron los impactos del petróleo en la Amazonía,23 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/cumbre-de-la-otca-gobiernos-aprobaron-el-mecanismo-de-gobernanza-indigena-pero-obviaron-los-impactos-del-petroleo-en-la-amazonia/,2025-08-23,2025,8,23,20
Cumbre de la OTCA: ocho países se reúnen para discutir la profunda crisis que enfrenta la Amazonía,22 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/cumbre-otca-profunda-crisis-amazonia/,2025-08-22,2025,8,22,17
"Crisis diplomática Perú-Colombia: “Es el momento de llevar a la mesa las urgencias, necesidades y deficiencias frente a cómo tratamos a la población en las fronteras” | ENTREVISTA",21 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/crisis-diplomatica-peru-colombia-frontera-santa-rosa-entrevista/,2025-08-21,2025,8,21,28
Sin mujeres no hay pesca: siete historias de pescadoras que rompen barreras en Latinoamérica,19 Ago 2025,Michelle Carrere,https://es.mongabay.com/custom-story/2025/08/sin-mujeres-no-hay-pesca-historias-pescadoras-rompen-barreras-latinoamerica/,2025-08-19,2025,8,19,14
La huella del mercurio en la Amazonía peruana,16 Ago 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/08/huella-letal-mercurio-amazonia-peruana/,2025-08-16,2025,8,16,8
"“Las mujeres sí podemos pescar, la pesca no es solo cosa de hombres” | ENTREVISTA",15 Ago 2025,Astrid Arellano,https://es.mongabay.com/2025/08/mujeres-pesca-conservacion-oceanos-entrevista/,2025-08-15,2025,8,15,15
Hidrocarburos en la Amazonía: pueblos indígenas y expertos cuestionan posible acuerdo de interconexión petrolera entre Perú y Ecuador,13 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/pueblos-indigenas-cuestionan-acuerdo-interconexion-petrolera-peru-ecuador/,2025-08-13,2025,8,13,18
Un refugio para Prince: la historia del rescate de un jaguar que no podrá regresar a la selva en Perú,13 Ago 2025,Joseph Zárate,https://es.mongabay.com/2025/08/refugio-prince-rescate-jaguar-peru/,2025-08-13,2025,8,13,20
Defensores ambientales criminalizados en Perú: informe revela 370 casos entre 2000 y 2024,11 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/defensores-ambientales-peru-criminalizados/,2025-08-11,2025,8,11,13
"Impactantes hallazgos submarinos: ¿Qué revelan las expediciones científicas en Argentina, Chile y Perú?",9 Ago 2025,Mongabay Latam,https://es.mongabay.com/video/2025/08/impactantes-hallazgos-submarinos-expediciones-cientificas-argentina-chile-peru/,2025-08-09,2025,8,9,13
“Los cambios en los patrones de conducta del pueblo mashco piro estarían presuntamente asociados a la invasión masiva de su territorio” | PODCAST,9 Ago 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/08/cambios-patrones-conducta-pueblo-mashco-piro-asociados-invasion-territorio-podcast/,2025-08-09,2025,8,9,23
Día Internacional de los Pueblos Indígenas: inteligencia artificial para monitorear y defender los territorios ancestrales en Latinoamérica,9 Ago 2025,Astrid Arellano,https://es.mongabay.com/2025/08/dia-internacional-pueblos-indigenas-inteligencia-artificial-monitorear-defender-territorios-latinoamerica/,2025-08-09,2025,8,9,17
